titles;is_service
Голова кооперативу будівельного ;0
Голова кооперативу промислового ;0
Голова ліквідаційної комісії ;0
Голова Національного банку України;0
Голова Національної поліції;0
Голова Національної ради;0
"Голова об’єднання (предстоятель, патріарх, верховний архієпископ, митрополит, головний рабин, верховний муфтій, старший єпископ, старший пресвітер і т. ін.)";0
Голова обласної (міської) державної адміністрації ;0
"Голова органу місцевого самоврядування (міський, сільський і т. ін.)";0
Голова постійної комісії Верховної Ради України ;0
Голова правління Пенсійного фонду України ;0
Голова правління ;0
"Голова ради (науково-технічної, наукової, експертної) ";0
Голова ради директорів біржі ;0
Голова ради директорів ;0
Голова Ради міністрів Автономної Республіки Крим ;0
Голова районної державної адміністрації ;0
Голова Рахункової палати України ;0
"Голова релігійної громади (настоятель, намісник, ігумен, парох, адміністратор, пастор, пресвітер, рабин, імам і т. ін.)";0
Голова секції (творчої) ;0
Голова Служби безпеки України ;0
Голова служби ;0
Голова спостережної (наглядової) ради ;0
Голова судової колегії ;0
Голова суду ;0
Голова товариства;0
Голова Фонду державного майна України;0
Голова Центральної виборчої комісії ;0
Голова циклової комісії закладу фахової передвищої освіти;0
Головна медична сестра (головний медичний брат);0
Головний агролісомеліоратор;0
Головний агроном із захисту рослин ;0
Головний агроном ;0
Головний агрохімік ;0
Головний адміністратор (на комерційних підприємствах) ;0
Головний адміністратор ;0
Головний акушер-гінеколог (місцеві органи державної влади) ;0
Головний архівіст ;0
Головний архітектор (архітектура та будівництво) ;0
Головний архітектор (органи державної влади) ;0
Головний архітектор проекту ;0
Головний балетмейстер ;0
Головний бібліограф ;0
Головний бібліотекар ;0
Головний біолог ;0
"Головний будівельник (домобудівного, сільського будівельного комбінату) ";0
Головний будівельник кораблів ;0
Головний бухгалтер ;0
Головний винороб ;0
Головний випусковий ;0
Головний водолазний фахівець ;0
Головний геодезист ;0
Головний геолог ;0
Головний геофізик ;0
Головний геохімік ;0
Головний гідроакустик ;0
Головний гідрогеолог ;0
Головний гідрограф ;0
Головний гідролог ;0
Головний гідротехнік ;0
Головний гірник ;0
Головний ґрунтознавець ;0
Головний державний аудитор ;0
Головний державний виконавець ;0
Головний державний інженер-інспектор ;0
Головний державний інспектор Державної інспекції з експлуатації електричних станцій і мереж;0
Головний державний інспектор з ветеринарної медицини ;0
Головний державний інспектор з охорони прав на сорти рослин ;0
Головний державний інспектор з рибоохорони ;0
Головний державний інспектор України з енергетичного нагляду ;0
Головний державний інспектор України з контролю якості лікарських засобів;0
Головний державний інспектор України з нагляду у сфері цивільного захисту ;0
Головний державний інспектор ;0
Головний державний податковий інспектор ;0
Головний державний податковий ревізор-інспектор ;0
Головний державний реєстратор суден ;0
Головний державний санітарний лікар ;0
Головний державний соціальний інспектор ;0
Головний державний фінансовий інспектор у районі (місті);0
Головний десинатор ;0
Головний дизайнер (художник-конструктор) проекту ;0
Головний дизайнер (художник-конструктор) ;0
Головний директор програм ;0
Головний диригент ;0
Головний диспетчер (промисловість) ;0
"Головний диспетчер (транспорт, складське господарство) ";0
Головний економіст ;0
Головний експерт ;0
Головний електрик ;0
Головний електромеханік ;0
Головний електронік ;0
Головний електрорадіонавігатор ;0
Головний енергетик ;0
Головний енергодиспетчер ;0
Головний збагачувач ;0
Головний зберігач фондів ;0
Головний зварник ;0
Головний звукорежисер ;0
Головний зоотехнік ;0
Головний інженер (експлуатаційні водогосподарські організації) ;0
Головний інженер (інші галузі) ;0
Головний інженер (місцеві органи державної влади) ;0
Головний інженер (на транспорті) ;0
Головний інженер (промисловість) ;0
Головний інженер Державної інспекції з експлуатації електричних станцій і мереж;0
Головний інженер з експлуатації радіоелектронних засобів ;0
Головний інженер з лісовпорядкування ;0
Головний інженер проекту ;0
Головний інженер ;0
Головний інженер-інспектор ;0
Головний інженер-інспектор ;0
Головний інженер-кріогенник ;0
Головний інспектор державного контролю ;0
Головний інспектор з контролю за цінами ;0
Головний інспектор ;0
Головний інспектор ;0
Головний казначей ;0
Головний калібрувальник ;0
Головний капітан ;0
Головний капітан-координатор ;0
Головний картограф ;0
Головний касир ;0
Головний кінооператор ;0
Головний коваль;0
Головний колорист ;0
Головний конструктор проекту ;0
Головний конструктор ;0
Головний консультант;0
Головний консультант-інспектор;0
Головний контролер ;0
Головний коньячний майстер ;0
Головний круп'яр ;0
Головний кулінар ;0
Головний ливарник;0
Головний лікар ветеринарної медицини ;0
Головний лісничий ;0
Головний лісопатолог ;0
Головний маркшейдер ;0
Головний меліоратор ;0
Головний металург ;0
Головний метролог ;0
Головний механік (механізація меліоративних робіт) ;0
Головний механік підводного апарата ;0
Головний механік судна ;0
Головний механік ;0
Головний миловар ;0
Головний мисливствознавець ;0
Головний мистецтвознавець ;0
Головний мікробіолог ;0
Головний модельєр ;0
Головний модельєр-конструктор ;0
Головний музичний редактор ;0
Головний оптик ;0
Головний парфумер ;0
Головний пивовар ;0
Головний питлівник ;0
Головний приладист ;0
Головний природознавець ;0
Головний пробірувальник ;0
Головний програміст ;0
Головний прокатник ;0
Головний профконсультант ;0
Головний психолог ;0
Головний радіолог ;0
Головний радник ;0
Головний ревізор з безпеки руху ;0
Головний ревізор ;0
"Головний редактор газети, журналу ";0
Головний редактор карт і лоцій ;0
Головний редактор карт ;0
Головний редактор програм ;0
Головний редактор студії (кіностудії) ;0
Головний редактор творчого об'єднання ;0
Головний редактор ;0
Головний режисер ;0
Головний режисер-постановник ;0
Головний релійник ;0
Головний реставратор;0
Головний рибовод ;0
Головний синоптик ;0
Головний соціолог ;0
Головний сталеплавильник ;0
Головний страховий експерт з охорони праці ;0
Головний суддя з випробування племінних коней ;0
Головний телеоператор ;0
Головний теплотехнік ;0
Головний терапевт (місцеві органи державної влади) ;0
Головний терміст;0
Головний технічний керівник ;0
Головний технолог проекту ;0
Головний технолог ;0
Головний титестер ;0
Головний товарознавець ;0
"Головний тренер команди (збірної, клубної) ";0
Головний турбініст виробничого об'єднання з ремонту та налагодження устаткування атомних станцій ;0
Головний тютюнник ;0
Головний тютюновий майстер ;0
"Головний учений секретар президії національної академії (наук, мистецтв і т. ін.) України ";0
Головний учений секретар ;0
Головний фахівець (залізничний транспорт) ;0
Головний фахівець (пенітенціарна система);0
Головний фахівець з автоматизованих систем керування ;0
Головний фахівець з автоматики ;0
Головний фахівець з антенних споруд ;0
Головний фахівець з атомних електростанцій ;0
Головний фахівець з електрозв'язку ;0
Головний фахівець з електронного устаткування ;0
Головний фахівець з енергетичних реакторів ;0
Головний фахівець з енергоблоків ;0
Головний фахівець з енергосистем ;0
Головний фахівець з кольорового телебачення ;0
Головний фахівець з котлів ;0
Головний фахівець з монтажу та налагодження систем автоматизації ;0
Головний фахівець з охорони навколишнього середовища ;0
Головний фахівець з програмного забезпечення ;0
Головний фахівець з радіомовлення ;0
Головний фахівець з радіопередавальних.пристроїв ;0
Головний фахівець з телевізійного мовлення ;0
Головний фахівець з техніки консервації телевізійних програм ;0
Головний фахівець з тропосферних радіорелейних ліній ;0
Головний фахівець з устаткування звукових трактів та акустики ;0
Головний фахівець з устаткування телевізійних трактів ;0
Головний фахівець з ядерної безпеки атомної електростанції ;0
Головний фахівець з якості металів на атомних станціях ;0
Головний фахівець із сантехнічного устаткування ;0
Головний фахівець із світлотехніки ;0
Головний фахівець із систем керування та захисту на атомних станціях ;0
Головний фахівець із систем створення спеціального клімату ;0
Головний фахівець із слабкострумових систем та контрольно-вимірювальних приладів і автоматики ;0
Головний фахівець-архітектор ;0
Головний фізик ;0
Головний хімік ;0
Головний хормейстер ;0
Головний художник (місцеві органи державної влади) ;0
Головний художник (реклама) ;0
Головний художник з освітлення ;0
Головний художник ;0
Головний художник-модельєр ;0
Головний художник-постановник ;0
Головний художник-реставратор ;0
Головний художній керівник ;0
Головний шампаніст ;0
Головний штурман ;0
Головний юрисконсульт ;0
Гончар ;1
Горновий доменної печі ;1
Горновий з десульфурації чавуну ;1
Горновий на агломерації та випалюванні ;1
Горновий феросплавних печей ;1
Горновий шахтової печі ;1
"Готувач абразивних порошків, паст і мастик ";1
Готувач активних мас ;1
Готувач ангобу та глазурі ;1
"Готувач апретур, емульсій та лаків ";1
Готувач басейнів ;1
Готувач білизни для прасування ;1
Готувач білкових мас ;1
Готувач бурового розчину ;1
Готувач водоростевого порошку та крупки ;1
Готувач волокна ;1
Готувач ґрунтових сумішей ;1
Готувач електроліту та флюсу ;1
Готувач електропровідного шару ;1
Готувач емалевих порошків ;1
Готувач емульсій ;1
Готувач живильних розчинів ;1
"Готувач заправних, вогнетривких матеріалів та термічних сумішей ";1
Готувач камер та рукавів ;1
Готувач композиційних блоків ;1
Готувач коркової крупи ;1
Готувач кормів (тваринництво) ;1
Готувач крохмального молока ;1
Готувач крупки оргскла ;1
Готувач кулінарних виробів з м'яса птиці та кролів ;1
"Готувач лаків, фарб та левкасу ";1
Готувач мас ;1
Готувач мелясного сусла ;1
Готувач молочних коктейлів ;1
Готувач морсу ;1
Готувач набивальних та настильних матеріалів ;1
Готувач напоїв ;1
Готувач нюхальної махорки та тютюну ;1
Готувач обмазки ;1
Готувач оптичних клеїв ;1
Готувач основи для мультиплікаційних малюнків ;1
Готувач пакувань та целюлози ;1
Готувач пасти ;1
Готувач перо-пухової суміші ;1
Готувач піротехнічних сумішей;1
Готувач початкового матеріалу ;1
Готувач пральних розчинів ;1
Готувач прокатного інструменту ;1
Готувач просочувальної суміші ;1
Готувач пульпи ;1
Готувач реактивної води ;1
Готувач розкрійних карт ;1
Готувач розподілювальної пасти ;1
Готувач розчинів барвників ;1
Готувач розчинів та електролітів ;1
Готувач розчинів та мас ;1
Готувач розчинів та сумішей ;1
Готувач сировини ;1
Готувач сірникових мас ;1
Готувач сіткоматеріалів ;1
Готувач склеювальної суміші ;1
Готувач составів до розливання плавок ;1
Готувач сталерозливних канав ;1
Готувач сумішей (змішування продуктів харчування та напоїв) ;1
Готувач сумішей (перероблення тютюну) ;1
Готувач сумішей (хлібопекарне та кондитерське виробництва);1
Готувач сумішей і мас медичного призначення ;1
Готувач суміші мийних засобів ;1
Готувач суміші плавленого сиру ;1
Готувач сухих пивних дріжджів ;1
Готувач технічних жирів ;1
Готувач трести ;1
Готувач ущільнювальних розчинів та паст ;1
Готувач фаршу ;1
Готувач харчової сировини та матеріалів ;1
Готувач харчової сировини ;1
Готувач хімічних розчинів ;1
Готувач шампанського ;1
Готувач шихти напівпровідникових матеріалів ;1
Готувач шихти ;1
Гофрувальник вініпласту ;1
Гофрувальник міхових камер ;1
Гофрувальник протезів кровоносних судин ;1
Гофрувальник трубок ;1
Гравер (виробництво текстилю) ;1
Гравер (поліграфічна діяльність) ;1
Гравер (слюсарні та слюсарно-складальні роботи) ;1
Гравер друкарських форм ;1
Гравер оригіналів топографічних карт ;1
Гравер скла ;1
Гравер шрифту ;1
Гравер ;1
Градуювальник оптичних деталей ;1
Градуювальник радіоапаратури ;1
Градуювальник ;1
Гранулювальник (виробництво медикаментів) ;1
Гранулювальник (виробництво скла та скловиробів) ;1
Грануляторник доменного шлаку ;1
Грануляторник ;1
Графітувальник азбестових технічних виробів ;1
Графітувальник ;1
Графолог ;1
Грибовод ;1
Гример-пастижер ;1
Громадський інспектор з використання та охорони земель ;1
Грохотник ;1
Грохотник-шурувальник ;1
Груповод ;1
Гувернер ;1
Гумівник металовиробів ;1
Гуртівник ;1
Ґратознімач ;1
Ґрунтознавець ;1
Ґрунтувальник азбестоцементних та азбестосилітових виробів ;1
Ґрунтувальник полотна та картону художніх полотен ;1
Ґрунтувальник художніх виробів з дерева ;1
Ґрунтувальник щіткових виробів ;1
Ґрунтувальник ;1
Давильник ;1
Дверевий ;1
Двірник ;1
Девіатор ;1
Девулканізаторник ;1
Дегоржер ;1
Дегустатор (рекламна діяльність) ;1
Дегустатор вин ;1
Дегустатор кави ;1
Дегустатор лікерів ;0
Дегустатор соків ;1
Дезактиваторник ;1
Дезінфектор ;1
Дезодораторинк сої ;1
Декан (начальник) факультету;0
Декатирувальник ;1
Декоратор вітрин ;1
Дельтапланерист-випробувач ;1
Демонстратор зачісок ;1
Демонстратор товарів (рекламна діяльність) ;1
Демонстратор-консультант з продажу інформаційно-комунікаційного устаткування ;1
Денатураторник спирту ;1
Деревообробник будівельний ;1
Деревопар ;1
Державний адміністратор;1
Державний аудитор ;1
Державний виконавець;1
Державний гірничотехнічний інспектор на вугільних шахтах з підземними роботами ;1
Державний експерт з розслідування авіаційних подій;1
Державний експерт ;1
Державний інспектор Державної інспекції з експлуатації електричних станцій і мереж;1
Державний інспектор з ветеринарної медицини ;1
Державний інспектор з енергетичного нагляду;1
Державний інспектор з карантину рослин ;1
Державний інспектор з нагляду за ядерною та радіаційною безпекою ;1
Державний інспектор з охорони прав на сорти рослин ;1
Державний інспектор з ринкового нагляду;1
Державний кадастровий реєстратор;1
Державний податковий інспектор ;1
Державний реєстратор прав на нерухоме майно;1
Державний реєстратор суден ;1
Державний секретар;1
Державний секретар України ;1
Державний соціальний інспектор ;1
Державний тренер з виду спорту (збірної) ;1
Державний уповноважений (органи державної влади);1
Державний уповноважений ;1
Десантник-пожежний ;1
Десинатор ;1
Детектив;1
Дефективник авіаційної техніки ;1
Дефектоскопіст з газового та рідинного контролю ;1
Дефектоскопіст з магнітного контролю ;1
Дефектоскопіст з ультразвукового контролю ;1
"Дефектоскопіст рентгено-, гаммаграфування ";1
Дефібрерник ;1
Дефростатни к молочних продуктів ;1
Дизайнер (художник-конструктор) (з дипломом молодшого спеціаліста) ;1
Дизайнер (художник-конструктор) ;1
Дизайнер візажу ;1
Дизайнер графічних робіт ;1
Дизайнер зачісок ;1
Дизайнер інтер'єру ;1
Дизайнер меблів ;1
Дизайнер мультимедійних об'єктів ;1
Дизайнер одягу ;1
Дизайнер пакування ;1
Дизайнер промислових виробів та об'єктів ;1
Дизайнер тканини ;1
Дизайнер-виконавець  ;1
Дизайнер-виконавець графічних робіт ;1
Дизайнер-виконавець інтер'єру ;1
Дизайнер-виконавець меблів ;1
Дизайнер-виконавець мультимедійних об'єктів ;1
Дизайнер-виконавець одягу ;1
Дизайнер-виконавець пакування ;1
Дизайнер-виконавець промислових виробів та об'єктів ;1
Дизайнер-виконавець тканини ;1
Дизайнер-дослідник ;1
Дизеліст плавучого бурильного агрегата в морі ;1
Диктор ;1
Дилер ;1
Дипломатичний кур'єр ;1
"Директор (генеральний директор, начальник, інший керівник) наукової установи (організації)";0
Директор (за напрямом діяльності);1
Директор (завідувач) бібліотеки;0
"Директор (інший керівник) підприємства, установи, організації фізкультурно-спортивної спрямованості ";0
Директор (керівник) малого будівельного підприємства ;0
"Директор (керівник) малого підприємства (транспортного, складського) ";0
"Директор (керівник) малого підприємства (у сфері охорони здоров'я, освіти, культури і т. ін.) ";0
Директор (керівник) малого підприємства гірничодобувного ;0
Директор (керівник) малого підприємства сільськогосподарського ;0
Директор (керівник) малого промислового підприємства (фірми) ;0
Директор (керівник) малої торговельної фірми ;0
Директор (начальник) департаменту;0
Директор (начальник) департаменту;0
Директор (начальник) інституту в складі закладу вищої освіти;0
"Директор (начальник) організації (дослідної, конструкторської, проектної) ";0
"Директор (начальник, завідувач, інший керівник) філіалу (філії)";0
"Директор (начальник, інший керівник) підприємства ";0
Директор бібліотеки;1
Директор видавництва ;1
Директор виконавчий ;1
Директор відділення ;1
Директор департаменту біржових операцій та електронного забезпечення ;1
Директор департаменту організації роботи органів управління фондової біржі ;1
Директор державного архіву ;1
Директор Державного реєстру документів моряків ;1
Директор з виробництва ;1
Директор з економіки ;1
Директор з кадрових питань та побуту ;1
Директор з капітального будівництва ;1
Директор з маркетингу ;1
Директор з матеріально-технічного постачання ;1
Директор з транспорту ;1
Директор з управління персоналом;1
Директор закладу експертизи державної системи з охорони прав на сорти рослин ;1
Директор інклюзивно-ресурсного центру;1
Директор книжкової палати ;1
Директор комерційний ;1
"Директор комплексу (оздоровчого, спортивного, туристського) ";1
Директор лабораторії ;1
"Директор малої фірми (страхової, аудиторської, рекламної і т. ін.) ";1
Директор навчального (навчально-тренувального) центру ;1
Директор навчального пункту ;1
Директор навчально-курсового комбінату ;1
"Директор об'єднання (творчого, творчо-виробничого, радіотелевізійного і т. ін.) ";1
Директор обсерваторії ;1
Директор обчислювального (інформаційно-обчислювального) центру ;1
Директор Палацу урочистих подій ;1
Директор пансіонату (кемпінгу) ;1
"Директор підприємства установи виконання покарань - заступник керівника (директора, начальника т. ін.) установи виконання покарань ";0
Директор представництва ;1
Директор програм (радіотелевізійних) ;1
Директор театру - художній керівник (генеральний директор театру - художній керівник);0
Директор технічний ;1
"Директор установи (підприємства, організації) культури (кінотеатру, кіновідеопрокату, кіностудії та ін.)";1
Директор фінансовий ;1
Директор Фонду ;1
"Директор центру (метрології та стандартизації, телевізійного і т. ін.) ";1
Директор центру підвищення кваліфікації;1
Директор центру професійної орієнтації молоді ;1
Директор-розпорядник ;1
Диригент ;1
Диск-жокей ;1
Диспашер ;1
Диспетчер автомобільного транспорту ;1
Диспетчер аеродромного диспетчерського (авіаційно-диспетчерського) пункту ;1
Диспетчер вагонного депо ;1
Диспетчер виробництва ;1
Диспетчер внутрішньошахтового (шахтового) транспорту ;1
Диспетчер газового господарства ;1
Диспетчер гірничий ;1
"Диспетчер диспетчерського пункту посадки (кола, підходу) ";1
Диспетчер диспетчерської служби керування ;1
Диспетчер електрозв'язку ;1
Диспетчер електромеханічної служби ;1
Диспетчер електропідстанції ;1
Диспетчер ескалаторної служби ;1
Диспетчер з відпуску готової продукції ;1
Диспетчер з міжнародних перевезень ;1
Диспетчер з перельотів ;1
Диспетчер з регулювання вагонного парку ;1
Диспетчер з руху (літаків) ;1
Диспетчер з транспортування газу ;1
Диспетчер з флоту ;1
Диспетчер з центрування ;1
Диспетчер зі збору навігаційної інформації ;1
Диспетчер із забезпечення польотів ;1
Диспетчер локомотивний дирекції залізничних перевезень;1
Диспетчер локомотивний шляховий ;1
Диспетчер локомотивного депо ;1
Диспетчер маневровий залізничної станції ;1
Диспетчер об'єднаного диспетчерського управління енергосистеми ;1
Диспетчер оперативно-диспетчерської служби (медицина);1
Диспетчер оперативно-диспетчерської служби магістральних електричних мереж;1
Диспетчер перетворювального комплексу ;1
Диспетчер підприємства (району) мереж ;1
Диспетчер пожежного зв'язку ;1
Диспетчер поїзний ;1
Диспетчер порту ;1
Диспетчер поштового зв'язку ;1
Диспетчер пункту збору донесень ;1
Диспетчер пункту передпольотного інформаційного обслуговування ;1
Диспетчер районного (місцевого) диспетчерського пункту ;1
Диспетчер служби перевезень ;1
Диспетчер служби руху ;1
Диспетчер станційний ;1
Диспетчер стартового диспетчерського пункту ;1
Диспетчер управління повітряним рухом ;1
Диспетчер факультету ;1
Диспетчер централізованого диспетчерського управління об'єднаною енергосистемою України;1
Диспетчер центральної диспетчерської служби енергосистеми;1
Диспетчер центру керування повітряним рухом ;1
Диспетчер центру комутації повідомлень ;1
Диспетчер шляховий ;1
Диспетчер ;1
Диспетчер-інспектор з руху (літаків) ;1
Диспетчер-інспектор ;1
Диспетчер-інспектор ;1
Диспетчер-інструктор диспетчерського тренажера ;1
Диспетчер-інструктор служби руху ;1
Диспетчер-інструктор ;1
Диспетчер-інформатор ;1
Дистанційний командир безпілотного повітряного судна;1
Дистанційний пілот безпілотного повітряного судна;1
Дистанційний пілот-випробувач безпілотного повітряного судна;1
Дистанційний пілот-інструктор безпілотного повітряного судна;1
Дистилювальник ртуті ;1
Дистиляторник ртуті ;1
Дифузорник целюлози ;1
Дізнавач (з дипломом магістра);1
Дізнавач (сфера кібербезпеки та захисту інформації);1
Дізнавач ;1
Ділильник мережива ;1
Діловод ;1
Дільничний офіцер поліції;1
Днювальний ;1
Довбальник ;1
Доводжувач алмазовмісних концентратів ;1
Доводжувач вугільних шайб ;1
Доводжувач деталей ;1
Доводжувач ;1
Доводжувач-притирник ;1
Доглядач будови;1
Доглядач вогнів ;1
Доглядач кладовища (колумбарію) ;1
Доглядач маяка ;1
Доглядач ;1
Дозиметрист ;1
Дозувальник (спеціальні хімічні виробництва);1
Дозувальник азбесту ;1
Дозувальник волокна та плівки ;1
Дозувальник гарячого повертання ;1
Дозувальник дробленого каменю та бітуму ;1
Дозувальник керамічних матеріалів ;1
Дозувальник компонентів бетонних сумішей ;1
Дозувальник медичних препаратів ;1
Дозувальник мінералізатора ;1
Дозувальник реагентів ;1
Дозувальник ртуті ;1
Дозувальник сировини ;1
Дозувальник харчової продукції ;1
Дозувальник ;1
Дозувальник-змішувач на шнеках ;1
Докторант ;1
Документознавець ;1
Долотозаправник ;1
Дорожній робітник ;1
Дорожньо-колійний робітник ;1
Дослідник аквакультури ;1
Дослідник із агрохімії та ґрунтознавства ;1
Дослідник із захисту рослин ;1
Дослідник із плодоовочівництва та виноградарства ;1
Дослідник із селекції та генетики сільськогосподарських культур ;1
Доцент закладу вищої освіти;1
Дояр ;1
Драгер ;1
Дражувальник ;1
Драматург ;1
Драпірувальник ;1
Дренажист з видобутку мірабіліту ;1
Дренажник ;1
Дресирувальник диких тварин ;1
Дресирувальник морських тварин ;1
Дріжджовик ;1
Дробильник (виробництво цементу) ;1
"Дробильник (збагачування, агломерація й брикетування) ";1
Дробильник (спеціальні хімічні виробництва);1
Дробильник (хімічне виробництво) ;1
Дробильник алмазів та надтвердих матеріалів ;1
Дробильник вапна ;1
Дробильник електровугільного виробництва ;1
Дробильник компонентів обмазки ;1
Дробильник слюди ;1
Дробильник теплоізоляційної сировини ;1
"Дробильник шліфзерна, шліфпорошків та шихтових матеріалів ";1
Дробильник-розмелювач (виробництво залізобетонних та бетонних виробів) ;1
"Дробильник-розмелювач (виробництво керамічних, фарфорових та фаянсових виробів) ";1
Дробильник-розмелювач (виробництво скла та скловиробів) ;1
Другий помічник капітана (на суднах внутрішнього плавання) ;1
"Другий помічник командира земснаряда (землесоса, дноочищувального снаряда) ";1
Друкар брайлівського друкування ;1
Друкар високого друкування ;1
Друкар глибокого друкування ;1
Друкар діаграмної продукції ;1
Друкар друкарсько-висікального автомата ;1
Друкар друкування на жерсті ;1
Друкар естампа ;1
Друкар металографічного друкування ;1
Друкар міліметрівки ;1
Друкар на лінолеумі ;1
Друкар орловського друкування ;1
Друкар офсетного плоского друкування ;1
Друкар субтитрування ;1
Друкар трафаретного друкування ;1
Друкар флексографічного друкування ;1
Друкар циферблатів ;1
Друкар-тиснильник ;1
Дублювальник деталей та матеріалів ;1
Дублювальник листового матеріалу ;1
Дублювальник ;1
Евакуатор ;1
Екіпірувальник ;1
Еколог ;1
Екологічний аудитор ;1
Економетрист ;1
Економіст з бухгалтерського обліку та аналізу господарської діяльності ;1
Економіст з договірних та претензійних робіт ;1
Економіст з матеріально-технічного забезпечення ;1
Економіст з міжнародної торгівлі ;1
Економіст з планування ;1
Економіст з податків і зборів ;1
Економіст з праці ;1
"Економіст з режимів газопостачання, обліку та контролю за витрачанням газу ";1
Економіст з фінансової роботи ;1
Економіст із збуту ;1
Економіст із ціноутворення ;1
Економіст обчислювального (інформаційно-обчислювального) центру ;1
Економіст ;1
Економіст-демограф ;1
Економіст-статистик (прикладна статистика) ;1
Економіст-статистик ;1
Економічний радник ;1
Економка ;1
"Екранувальник жил, проводів та кабелів ";1
